Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR31039,PAU TOURASSE,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,19.0,19.418202606906046,µg-m3,100.0,100.0,100.0,R,1,43.311091,-0.352116
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR31040,MARMANDE,Périurbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,12.0,12.4289789106357,µg-m3,75.0,100.0,75.0,N,-1,44.508782,0.142695
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR31041,MONT DE MARSAN,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,12.0,11.780793688177088,µg-m3,97.0,100.0,97.0,R,1,43.8961,-0.491403
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZAG02,ZAG BAYONNE,FR31043,Biarritz-hippodrome,Périurbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,9.0,8.836098020735172,µg-m3,97.0,100.0,97.0,R,1,43.470237,-1.553876
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZAG01,ZAG BORDEAUX,FR31045,Bordeaux_GAUTIER,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,31.0,30.681989000916545,µg-m3,100.0,100.0,100.0,R,1,44.833825,-0.598525
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR04,ZAR CHALON,FR32001,Chalon Centre Ville,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,21.0,20.710288395513867,µg-m3,100.0,100.0,100.0,R,1,46.782311,4.847322
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR04,ZAR CHALON,FR32002,Champforgueil,Périurbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,14.0,14.144219866896774,µg-m3,93.0,100.0,93.0,R,1,46.821056,4.835083
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR32005,Montceau-les-Mines 9me écluse,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,13.0,12.748027602070174,µg-m3,99.0,100.0,99.0,R,1,46.678785,4.366893
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR32006,Macon Paul Bert,Périurbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,14.0,14.201640881387751,µg-m3,98.0,99.0,97.0,R,1,46.316172,4.839994
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33101,PASTEUR,Urbaine,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,17.0,16.735229707212575,µg-m3,,,,R,1,45.56472,5.928333
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33102,CHAMBERY LE HAUT,Urbaine,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,12.0,11.579703819173805,µg-m3,,,,R,1,45.59667,5.918611
